id	youth_dev	age	gender	parent_att	cohort	year
32	29	12	1	35	2	1976
32	26	13	1	35	2	1977
32	21	14	1	35	2	1978
32	23	16	1	35	2	1980
33	29	14	2	33	4	1976
33	27	15	2	33	4	1977
33	28	16	2	33	4	1978
33	29	18	2	33	4	1980
34	35	15	1	33	5	1976
34	34	16	1	33	5	1977
34	34	17	1	33	5	1978
34	34	19	1	33	5	1980
35	30	16	1	33	6	1976
35	31	17	1	33	6	1977
35	33	18	1	33	6	1978
35	31	20	1	33	6	1980
92	34	15	2	34	5	1976
92	35	16	2	34	5	1977
92	34	17	2	34	5	1978
92	32	19	2	34	5	1980
93	36	13	2	34	3	1976
93	33	14	2	34	3	1977
93	33	15	2	34	3	1978
93	34	17	2	34	3	1980
342	30	16	1	31	6	1976
342	25	17	1	31	6	1977
342	25	18	1	31	6	1978
342	28	20	1	31	6	1980
362	30	14	1	35	4	1976
362	31	15	1	35	4	1977
362	28	16	1	35	4	1978
362	26	18	1	35	4	1980
363	32	14	1	35	4	1976
363	32	15	1	35	4	1977
363	33	16	1	35	4	1978
363	31	18	1	35	4	1980
364	32	13	1	35	3	1976
364	34	14	1	35	3	1977
364	33	15	1	35	3	1978
364	30	17	1	35	3	1980
365	34	12	1	35	2	1976
365	32	13	1	35	2	1977
365	32	14	1	35	2	1978
365	34	16	1	35	2	1980
366	30	12	1	35	2	1976
366	34	13	1	35	2	1977
366	31	14	1	35	2	1978
366	28	16	1	35	2	1980
552	25	14	1	30	4	1976
552	28	15	1	30	4	1977
552	26	16	1	30	4	1978
552	25	18	1	30	4	1980
702	20	12	2	35	2	1976
702	25	13	2	35	2	1977
702	32	14	2	35	2	1978
702	28	16	2	35	2	1980
982	32	15	2	35	5	1976
982	34	16	2	35	5	1977
982	28	17	2	35	5	1978
982	28	19	2	35	5	1980
983	35	14	1	35	4	1976
983	33	15	1	35	4	1977
983	34	16	1	35	4	1978
983	30	18	1	35	4	1980
984	32	11	1	35	1	1976
984	30	12	1	35	1	1977
984	24	13	1	35	1	1978
984	28	15	1	35	1	1980
1042	28	14	1	34	4	1976
1042	28	15	1	34	4	1977
1042	29	16	1	34	4	1978
1042	27	18	1	34	4	1980
1043	30	17	2	34	7	1976
1043	31	18	2	34	7	1977
1043	32	19	2	34	7	1978
1043	32	21	2	34	7	1980
1052	36	17	1	35	7	1976
1052	36	18	1	35	7	1977
1052	36	19	1	35	7	1978
1052	36	21	1	35	7	1980
1362	27	13	2	33	3	1976
1362	30	14	2	33	3	1977
1362	31	15	2	33	3	1978
1362	30	17	2	33	3	1980
1372	34	11	1	33	1	1976
1372	30	12	1	33	1	1977
1372	32	13	1	33	1	1978
1372	27	15	1	33	1	1980
1392	31	13	2	34	3	1976
1392	28	14	2	34	3	1977
1392	26	15	2	34	3	1978
1392	25	17	2	34	3	1980
1393	22	17	1	33	7	1976
1393	24	18	1	33	7	1977
1393	26	19	1	33	7	1978
1393	24	21	1	33	7	1980
1972	26	11	1	35	1	1976
1972	30	12	1	35	1	1977
1972	25	13	1	35	1	1978
1972	20	15	1	35	1	1980
1973	31	14	2	35	4	1976
1973	31	15	2	35	4	1977
1973	30	16	2	35	4	1978
1973	29	18	2	35	4	1980
2002	32	13	2	28	3	1976
2002	35	14	2	28	3	1977
2002	34	15	2	28	3	1978
2002	34	17	2	28	3	1980
2062	35	11	1	35	1	1976
2062	35	12	1	35	1	1977
2062	32	13	1	35	1	1978
2062	29	15	1	35	1	1980
2082	33	11	2	35	1	1976
2082	36	12	2	35	1	1977
2082	33	13	2	35	1	1978
2082	23	15	2	35	1	1980
2092	35	15	1	35	5	1976
2092	35	16	1	35	5	1977
2092	34	17	1	35	5	1978
2092	35	19	1	35	5	1980
2182	34	13	1	35	3	1976
2182	29	14	1	35	3	1977
2182	31	15	1	35	3	1978
2182	29	17	1	35	3	1980
2183	33	12	2	32	2	1976
2183	33	13	2	32	2	1977
2183	35	14	2	32	2	1978
2183	33	16	2	32	2	1980
2192	31	12	1	29	2	1976
2192	33	13	1	29	2	1977
2192	31	14	1	29	2	1978
2192	32	16	1	29	2	1980
2282	34	16	1	30	6	1976
2282	35	17	1	30	6	1977
2282	32	18	1	30	6	1978
2282	32	20	1	30	6	1980
2312	29	15	1	33	5	1976
